model,category,index,subject,lifespan,anAge,prompttemplate,promptcategory,imperative,prompt,difficulty,Landscapes,goldenrecordImages,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2,periodstart,periodend,goldenrecordImagePath,DemolitionDate,BuildingCoordinates,BuildingCountry,RandomBefore,RandomAfter,BuildingCoordinates.1,lon,lat,commonsCategory,isInGoogleLandmark,inception,WikipediaPagesCount,Imperative,PromptTemplate,currentState,place,suggestion,timecategory,temporalvalue,daytimevalue,image_urls,vlm_prompt,model_response_vlm_prompt,model_name
sdxlturbo,Animals,1576,Java Mouse-deer,12.0,14.0,(imperative) a photorealistic image of (name) that is 1 month old,youth,Give me,Give me a photorealistic image of a Java Mouse-deer that is one month old.,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/Lesser.malay.mouse.deer.arp.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Tragulus%20javanicus%20jerusalem%20zoo.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Java Mouse-deer'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Java Mouse-deer that is one month old.'? Is the correct temporal knowledge applied (i.e. one month old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_1576.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Java Mouse-deer that is one month old.","ANALYSIS: The prompt asks for a photorealistic image of a one-month-old Java mouse-deer. The generated image is highly stylized with neon colors and painterly/illustrative rendering, not photorealistic. Species accuracy is questionable: the coat shows exaggerated stripes and color patches not typical for a Java mouse-deer, and overall anatomy is more cartoonish. Age is suggested by juvenile proportions (large head/ears, small body), but it’s not convincingly a one-month-old in a realistic sense. Lighting and shadows are artificial, further reducing realism.

RATING: Poor",gpt-5
stable-diffusion-3-5,Animals,463,Blue Duiker,12.0,15.9,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Produce,Produce a photorealistic image of a Blue Duiker that is 8.0 years old.,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Blauducker.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Blue Duiker'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Blue Duiker that is 8.0 years old.'? Is the correct temporal knowledge applied (i.e. 80 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,stable-diffusion-3-5/Animals/image_463.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Blue Duiker that is 8.0 years old.","ANALYSIS: 
- The prompt requests a photorealistic image; the output looks stylized/CGI with exaggerated colors, smooth plastic-like fur, and unrealistic lighting.
- Species accuracy: A true Blue Duiker has a uniform bluish-gray/brown coat and very short, backward-pointing horns; the image shows long upright horns and pronounced body stripes more akin to other antelopes, plus unnatural ear coloration—indicating poor species fidelity.
- Age specification: 8 years implies an adult; the depicted animal has juvenile facial proportions and no adult/aging cues. Age is not convincingly represented.
- Overall, key attributes (photorealism, species traits, and age) are not met.

RATING: Extremely Poor",gpt-5
sdxlturbo,Animals,1929,Mountain Zebra,25.0,33.2,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of a Mountain Zebra that is 26 years old.,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Equus%20zebra%20-%20Disney%27s%20Animal%20Kingdom%20Lodge%2C%20Orlando%2C%20Florida%2C%20USA%20-%2020100119.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/HartmannsZebra.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Mountain Zebra'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Mountain Zebra that is 26 years old.'? Is the correct temporal knowledge applied (i.e. 26 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_1929.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Mountain Zebra that is 26 years old.","ANALYSIS: 
- Object presence: A zebra is clearly depicted in a semi-arid, mountainous habitat, which fits a mountain setting.
- Species accuracy (Mountain Zebra): Key traits (prominent throat dewlap, gridiron rump pattern, largely white belly) are not clearly present; the animal looks closer to a plains zebra. Species specificity is questionable.
- Temporal attribute (26 years old): No visible signs of advanced age (graying muzzle, worn coat, reduced muscle tone, sagging back) are shown; the zebra appears like a healthy prime adult.
- Style: While realistic, the rendering has a somewhat painterly/overprocessed look rather than truly photorealistic.

RATING: Poor",gpt-5
sdxlbase,Animals,841,Dhole,13.0,16.1,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of a Dhole that is 13 years old.,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Dole%2C%20Khumbu%2C%20Nepal.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Dhole%20%28Asiatic%20wild%20dog%29%20cropped.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Dhole'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Dhole that is 13 years old.'? Is the correct temporal knowledge applied (i.e. 13 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_841.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Dhole that is 13 years old.","ANALYSIS: 
- The prompt asks for a photorealistic image. The generated image is a stylized illustration/painting, not photorealistic. 
- Species accuracy: while the animal has a reddish coat and white throat reminiscent of a dhole, the tall, pointed fox-like ears and facial structure are inconsistent with a dhole’s typically rounder ears and proportions. 
- Temporal/age element: specified as 13 years old. The animal shows no signs of aging (no graying muzzle, worn coat, or other senior traits); it appears as a healthy young adult. 

RATING: Poor",gpt-5
sdxlbase,Animals,1713,Greater Kudu,23.0,23.5,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Create,Create a photorealistic image of a Greater Kudu that is 19 years old.,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Tragelaphus%20strepsiceros.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Kudu%20in%20Unaizah.JPG","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Greater Kudu'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Greater Kudu that is 19 years old.'? Is the correct temporal knowledge applied (i.e. 19 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_1713.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Greater Kudu that is 19 years old.","ANALYSIS: 
- Object: Clearly depicts a male Greater Kudu—large spiral horns with multiple twists, big ears, facial markings—species identification is accurate.
- Style: Despite high detail, the surface textures and lighting look CG/studio-rendered rather than truly photorealistic.
- Temporal/Age element: The kudu appears as a healthy adult, but shows minimal signs of advanced age (e.g., no horn tip wear, scarring, greying, or other senescent features). The image does not convincingly indicate a specifically 19-year-old animal.

RATING: Fair",gpt-5
sdxlturbo,Animals,1190,Galapagos Fur Seal,22.0,,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Generate,Generate a photorealistic image of a Galapagos Fur Seal that is 44 years old.,2,lifespan*2,http://commons.wikimedia.org/wiki/Special:FilePath/Galapagos%20Fur%20Seal%2C%20Santiago%20Island.jpg,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Galapagos Fur Seal'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a Galapagos Fur Seal that is 44 years old.'? Is the correct temporal knowledge applied (i.e. 44 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_1190.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Galapagos Fur Seal that is 44 years old.","ANALYSIS: The image shows a seal-like animal on a beach, broadly aligning with the subject. However, it appears CGI/stylized rather than photorealistic, failing the prompt’s photorealism requirement. Species-specific cues for a Galapagos Fur Seal are not clearly identifiable. Crucially, the temporal element—being 44 years old—is not reflected; there are no visible signs of advanced age (e.g., graying, scarring, worn whiskers, body condition changes). Overall, major prompt elements (photorealism and age depiction) are not met.

RATING: Poor",gpt-5
sdxlbase,Animals,1207,Galapagos Sea Lion,20.0,,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Generate,Generate a photorealistic image of a Galapagos Sea Lion that is 10.0 years old.,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/Gal%C3%A1pagos%20sea%20lion%20San%20Crist%C3%B3bal%20Gal%C3%A1pagos%20Ecuador%20DSC00189%20ad.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Galapagos%2C%20sea-lion%2C%20female%20%28by%20Casey%20Klebba%29.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Galapagos Sea Lion'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a Galapagos Sea Lion that is 10.0 years old.'? Is the correct temporal knowledge applied (i.e. 100 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_1207.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Galapagos Sea Lion that is 10.0 years old.","ANALYSIS: 
- Object match: The image clearly shows a sea lion on a beach with appropriate anatomy (whiskers, flippers, body shape). 
- Photorealism: Lighting and depth of field are strong, but the skin appears overly smooth and glossy, giving a slightly CGI feel. 
- Species specificity: While it is a sea lion, distinguishing features unique to a Galapagos sea lion are not clearly evident, making the exact species somewhat ambiguous. 
- Temporal/age element: The animal appears as a healthy adult, consistent with ~10 years old, but there are no specific aging markers to confirm that precise age.

RATING: Good",gpt-5
stable-diffusion-3-5,Animals,2550,Unau (Two-toed Sloth),20.0,36.8,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Generate,Generate a photorealistic image of an Unau (Two-toed Sloth) that is 74 years old.,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/Choloepus%20hoffmanni.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Choloepus%20didactylus%202%20-%20Buffalo%20Zoo.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Unau (Two-toed Sloth)'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of an Unau (Two-toed Sloth) that is 74 years old.'? Is the correct temporal knowledge applied (i.e. 74 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,stable-diffusion-3-5/Animals/image_2550.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of an Unau (Two-toed Sloth) that is 74 years old.","ANALYSIS: 
- The image depicts a sloth-like animal, but key species attributes for an Unau (two-toed sloth) are incorrect. The visible forelimb shows more than two claws and the facial mask resembles a three-toed sloth, not a two-toed sloth.
- The prompt requests photorealism; the image looks CGI-like with overly smooth textures and stylized features, reducing photorealistic credibility.
- Temporal element of being 74 years old is not represented. There are no signs of advanced age (e.g., graying/thinning fur, worn claws, sagging skin, or other indicators).
- Background/environment is generally appropriate for a sloth but does not contribute to the required temporal detail.

RATING: Poor",gpt-5
blackforest,Animals,879,Domestic Cat,15.0,30.0,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Produce,Produce a photorealistic image of a Domestic Cat that is 15.0 years old.,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Abessinierkatze%20Tilia%2004.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Domestic Cat'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Domestic Cat that is 15.0 years old.'? Is the correct temporal knowledge applied (i.e. 150 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,blackforest/Animals/image_879.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Domestic Cat that is 15.0 years old.","ANALYSIS: 
- The subject is a domestic cat, matching the species in the prompt.
- The image is not photorealistic; it appears as a stylized 3D/cartoon rendering with exaggerated eyes and simplified textures.
- The specified age (15 years) is not reflected. The cat looks like a young kitten with round face, large eyes, and no signs of aging (no graying, leaner frame, or cloudiness in eyes).
- Temporal/aging attributes are thus incorrect. Other contextual/time-of-day elements are neutral.

RATING: Extremely Poor",gpt-5
blackforest,Animals,457,Blue Duiker,12.0,15.9,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of a Blue Duiker that is 13 years old.,1,lifespan*0.8,http://commons.wikimedia.org/wiki/Special:FilePath/Blauducker.jpg,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Blue Duiker'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Blue Duiker that is 13 years old.'? Is the correct temporal knowledge applied (i.e. 13 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,blackforest/Animals/image_457.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Blue Duiker that is 13 years old.","ANALYSIS: 
- Object accuracy: The animal hints at a blue duiker via slate-blue/gray coloration and general antelope form, but proportions are inaccurate (legs and neck too long, ears exaggerated). Typical species features (compact body, small horns/tuft) are missing or stylized. 
- Photorealism: The image looks like a stylized 3D render with smooth, plastic-like surfaces and exaggerated features; not photorealistic. 
- Temporal attribute (age 13 years): No visible signs of aging; the animal appears youthful with no age markers, failing to convey the specified age.

RATING: Poor",gpt-5
