model,category,index,subject,lifespan,anAge,prompttemplate,promptcategory,imperative,prompt,difficulty,time,goldenrecordImages,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2,periodstart,periodend,goldenrecordImagePath,DemolitionDate,BuildingCoordinates,BuildingCountry,RandomBefore,RandomAfter,BuildingCoordinates.1,lon,lat,commonsCategory,isInGoogleLandmark,inception,WikipediaPagesCount,Imperative,PromptTemplate,currentState,place,suggestion,timecategory,temporalvalue,daytimevalue,image_urls,vlm_prompt,model_response_vlm_prompt,model_name
sdxlturbo,Animals,1576,Java Mouse-deer,12.0,14.0,(imperative) a photorealistic image of (name) that is 1 month old,youth,Give me,Give me a photorealistic image of a Java Mouse-deer that is one month old.,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/Lesser.malay.mouse.deer.arp.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Tragulus%20javanicus%20jerusalem%20zoo.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Java Mouse-deer'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Java Mouse-deer that is one month old.'? Is the correct temporal knowledge applied (i.e. one month old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_1576.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Java Mouse-deer that is one month old.","ANALYSIS: The image is heavily stylized with neon-like colors and graphic outlines, not photorealistic as requested. While the subject loosely resembles a small deer-like animal, species-specific traits of a Java Mouse-deer are unclear. The juvenile/one-month-old aspect is only weakly implied by proportions but not convincingly depicted. Overall, key prompt elements—especially photorealism and accurate species depiction—are not met.

RATING: Poor",gpt-5
stable-diffusion-3-5,Animals,463,Blue Duiker,12.0,15.9,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Produce,Produce a photorealistic image of a Blue Duiker that is 8.0 years old.,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Blauducker.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Blue Duiker'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Blue Duiker that is 8.0 years old.'? Is the correct temporal knowledge applied (i.e. 80 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,stable-diffusion-3-5/Animals/image_463.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Blue Duiker that is 8.0 years old.","ANALYSIS: The image is highly stylized with neon colors and a pure white background, not photorealistic as requested. The animal resembles a small antelope, but the coloration and striping are inaccurate for a Blue Duiker, and the exaggerated eyes/ears give a juvenile, cartoonish look. There are no clear age indicators suggesting an 8-year-old adult. While small horns are present, overall species realism and the temporal element are poorly represented.

RATING: Poor",gpt-5
sdxlturbo,Animals,1929,Mountain Zebra,25.0,33.2,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of a Mountain Zebra that is 26 years old.,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Equus%20zebra%20-%20Disney%27s%20Animal%20Kingdom%20Lodge%2C%20Orlando%2C%20Florida%2C%20USA%20-%2020100119.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/HartmannsZebra.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Mountain Zebra'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Mountain Zebra that is 26 years old.'? Is the correct temporal knowledge applied (i.e. 26 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_1929.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Mountain Zebra that is 26 years old.","ANALYSIS: 
- The image depicts a zebra in an arid, mountainous environment, which aligns with a mountain zebra’s habitat, but species-specific traits (clear dewlap, rump “gridiron” pattern) are not distinctly shown, making identification uncertain. 
- The style is painterly with heavy edge enhancement and lacks true photographic texture and lighting, so it is not photorealistic as requested. 
- No visible indicators of advanced age (e.g., greying muzzle, worn coat, sagging musculature, reduced body condition) to suggest a 26-year-old animal; it appears like a healthy adult.

RATING: Poor",gpt-5
sdxlbase,Animals,841,Dhole,13.0,16.1,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of a Dhole that is 13 years old.,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Dole%2C%20Khumbu%2C%20Nepal.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Dhole%20%28Asiatic%20wild%20dog%29%20cropped.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Dhole'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Dhole that is 13 years old.'? Is the correct temporal knowledge applied (i.e. 13 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_841.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Dhole that is 13 years old.","ANALYSIS: - Subject species appears to be a dhole, matching the object.
- However, the style is painterly/illustrative rather than photorealistic, violating a core attribute.
- At 13 years old (senior for dholes), one would expect clear aging signs (graying muzzle, thinning coat, posture changes). The animal looks like a healthy, youthful adult with no visible aging markers.
- Background and lighting do not convey additional temporal cues.

RATING: Poor",gpt-5
sdxlbase,Animals,1713,Greater Kudu,23.0,23.5,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Create,Create a photorealistic image of a Greater Kudu that is 19 years old.,1,lifespan*0.8,"http://commons.wikimedia.org/wiki/Special:FilePath/Tragelaphus%20strepsiceros.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Kudu%20in%20Unaizah.JPG","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Greater Kudu'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Greater Kudu that is 19 years old.'? Is the correct temporal knowledge applied (i.e. 19 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_1713.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Greater Kudu that is 19 years old.","ANALYSIS: 
- Object match: The animal appears to be a male Greater Kudu—large spiral horns with multiple twists, very large ears, appropriate facial structure—consistent with the species. 
- Photorealism: High; looks like a studio-lit, realistic render, though with a slight CG feel. 
- Temporal/age element: A 19-year-old kudu would be a very old adult. The image shows a fully mature male (appropriate horn development), but lacks stronger signs of advanced age (e.g., worn horn tips, scars, sagging skin, greying muzzle). Age is implied as adult rather than clearly “old.” 
- No other temporal cues required by the prompt.

RATING: Good",gpt-5
sdxlturbo,Animals,1190,Galapagos Fur Seal,22.0,,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Generate,Generate a photorealistic image of a Galapagos Fur Seal that is 44 years old.,2,lifespan*2,http://commons.wikimedia.org/wiki/Special:FilePath/Galapagos%20Fur%20Seal%2C%20Santiago%20Island.jpg,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Galapagos Fur Seal'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a Galapagos Fur Seal that is 44 years old.'? Is the correct temporal knowledge applied (i.e. 44 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlturbo/Animals/image_1190.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Galapagos Fur Seal that is 44 years old.","ANALYSIS: The image depicts a generic, glossy-looking seal/sea lion with a plastic-like sheen, so it is not convincingly photorealistic. Species-specific traits of a Galapagos Fur Seal are unclear (ear pinnae and characteristic fur texture not well represented), making identification uncertain. Crucially, the prompt’s temporal element—being 44 years old—is not reflected; there are no signs of advanced age (graying muzzle, scarring, cataracts, reduced body condition). Overall alignment with the prompt is weak.

RATING: Poor",gpt-5
sdxlbase,Animals,1207,Galapagos Sea Lion,20.0,,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Generate,Generate a photorealistic image of a Galapagos Sea Lion that is 10.0 years old.,1,0.5*lifespan,"http://commons.wikimedia.org/wiki/Special:FilePath/Gal%C3%A1pagos%20sea%20lion%20San%20Crist%C3%B3bal%20Gal%C3%A1pagos%20Ecuador%20DSC00189%20ad.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Galapagos%2C%20sea-lion%2C%20female%20%28by%20Casey%20Klebba%29.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Galapagos Sea Lion'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a Galapagos Sea Lion that is 10.0 years old.'? Is the correct temporal knowledge applied (i.e. 100 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,sdxlbase/Animals/image_1207.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Galapagos Sea Lion that is 10.0 years old.","ANALYSIS: The image shows a Galapagos sea lion on a sandy coastline with others in the background—appropriate habitat and species traits (ear pinnae, whiskers, brown/tan coloration, body shape). The animal appears fully grown, consistent with being ~10 years old (adult) rather than a pup or elderly individual. Photorealism is strong but there is a slight CG/plastic sheen and overly smooth skin that reduces realism a bit.
RATING: Very Good",gpt-5
stable-diffusion-3-5,Animals,2550,Unau (Two-toed Sloth),20.0,36.8,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Generate,Generate a photorealistic image of an Unau (Two-toed Sloth) that is 74 years old.,2,lifespan*2,"http://commons.wikimedia.org/wiki/Special:FilePath/Choloepus%20hoffmanni.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Choloepus%20didactylus%202%20-%20Buffalo%20Zoo.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Unau (Two-toed Sloth)'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of an Unau (Two-toed Sloth) that is 74 years old.'? Is the correct temporal knowledge applied (i.e. 74 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,stable-diffusion-3-5/Animals/image_2550.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of an Unau (Two-toed Sloth) that is 74 years old.","ANALYSIS: The image depicts a sloth, but the species traits do not match an Unau (two-toed sloth). The visible forelimb shows more than two long claws and the facial mask resembles a three-toed sloth, indicating species mismatch. The prompt requires a 74-year-old individual; no signs of extreme aging are present (no worn claws, thinning fur, or other senescent features), and such an advanced age is unlikely. Additionally, the rendering leans stylized rather than strictly photorealistic.
RATING: Poor",gpt-5
blackforest,Animals,879,Domestic Cat,15.0,30.0,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Produce,Produce a photorealistic image of a Domestic Cat that is 15.0 years old.,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Abessinierkatze%20Tilia%2004.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Domestic Cat'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Domestic Cat that is 15.0 years old.'? Is the correct temporal knowledge applied (i.e. 150 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,blackforest/Animals/image_879.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Domestic Cat that is 15.0 years old.","ANALYSIS: The subject is a domestic cat, matching the species. However, the image is stylized/3D-rendered rather than photorealistic. The cat appears as a kitten with oversized eyes and juvenile proportions, not a 15-year-old senior cat; no signs of aging are present. Temporal attribute (age) is incorrectly represented.

RATING: Poor",gpt-5
blackforest,Animals,457,Blue Duiker,12.0,15.9,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of a Blue Duiker that is 13 years old.,1,lifespan*0.8,http://commons.wikimedia.org/wiki/Special:FilePath/Blauducker.jpg,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Blue Duiker'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Blue Duiker that is 13 years old.'? Is the correct temporal knowledge applied (i.e. 13 years old)? Just reply with 'yes' or 'no'.,,,,,,,,,,,,,,,,,,,,,,,,blackforest/Animals/image_457.png,"Now, proceed with evaluating the image based on the prompt:
 a photorealistic image of a Blue Duiker that is 13 years old.","ANALYSIS: The image is not photorealistic; it looks like a stylized 3D render. Morphology does not match a Blue Duiker: body and legs are too long and slender, ears oversized, coloration an unnatural deep blue, and there are no visible horns or typical features. Temporal element is missed—nothing suggests a 13-year-old (older adult) animal; it appears juvenile and pristine. Overall alignment with species traits and age is weak.

RATING: Poor",gpt-5
