index,subject,lifespan,anAge,prompttemplate,promptcategory,imperative,prompt,difficulty,time,goldenrecordImages,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2
0,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is 1 month old,youth,Create,Create a photorealistic image of an Aardvark that is one month old.,1,1 month,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of an Aardvark that is one month old.'? Is the correct temporal knowledge applied (i.e. one month old)? Just reply with 'yes' or 'no'.
1,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Create,Create a photorealistic image of an Aardvark that is 24 years old.,1,lifespan*0.8,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of an Aardvark that is 24 years old.'? Is the correct temporal knowledge applied (i.e. 24 years old)? Just reply with 'yes' or 'no'.
2,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Create,Create a photorealistic image of an Aardvark that is 60 years old.,2,lifespan*2,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of an Aardvark that is 60 years old.'? Is the correct temporal knowledge applied (i.e. 60 years old)? Just reply with 'yes' or 'no'.
3,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Create,Create a photorealistic image of an Aardvark that is 15.0 years old.,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of an Aardvark that is 15.0 years old.'? Is the correct temporal knowledge applied (i.e. 150 years old)? Just reply with 'yes' or 'no'.
4,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is 1 month old,youth,Generate,Generate a photorealistic image of an Aardvark that is one month old.,1,1 month,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of an Aardvark that is one month old.'? Is the correct temporal knowledge applied (i.e. one month old)? Just reply with 'yes' or 'no'.
5,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Generate,Generate a photorealistic image of an Aardvark that is 24 years old.,1,lifespan*0.8,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of an Aardvark that is 24 years old.'? Is the correct temporal knowledge applied (i.e. 24 years old)? Just reply with 'yes' or 'no'.
6,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Generate,Generate a photorealistic image of an Aardvark that is 60 years old.,2,lifespan*2,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of an Aardvark that is 60 years old.'? Is the correct temporal knowledge applied (i.e. 60 years old)? Just reply with 'yes' or 'no'.
7,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Generate,Generate a photorealistic image of an Aardvark that is 15.0 years old.,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of an Aardvark that is 15.0 years old.'? Is the correct temporal knowledge applied (i.e. 150 years old)? Just reply with 'yes' or 'no'.
8,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is 1 month old,youth,Give me,Give me a photorealistic image of an Aardvark that is one month old.,1,1 month,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of an Aardvark that is one month old.'? Is the correct temporal knowledge applied (i.e. one month old)? Just reply with 'yes' or 'no'.
9,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Give me,Give me a photorealistic image of an Aardvark that is 24 years old.,1,lifespan*0.8,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of an Aardvark that is 24 years old.'? Is the correct temporal knowledge applied (i.e. 24 years old)? Just reply with 'yes' or 'no'.
10,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Give me,Give me a photorealistic image of an Aardvark that is 60 years old.,2,lifespan*2,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of an Aardvark that is 60 years old.'? Is the correct temporal knowledge applied (i.e. 60 years old)? Just reply with 'yes' or 'no'.
11,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Give me,Give me a photorealistic image of an Aardvark that is 15.0 years old.,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of an Aardvark that is 15.0 years old.'? Is the correct temporal knowledge applied (i.e. 150 years old)? Just reply with 'yes' or 'no'.
12,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is 1 month old,youth,Produce,Produce a photorealistic image of an Aardvark that is one month old.,1,1 month,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of an Aardvark that is one month old.'? Is the correct temporal knowledge applied (i.e. one month old)? Just reply with 'yes' or 'no'.
13,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,Produce,Produce a photorealistic image of an Aardvark that is 24 years old.,1,lifespan*0.8,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of an Aardvark that is 24 years old.'? Is the correct temporal knowledge applied (i.e. 24 years old)? Just reply with 'yes' or 'no'.
14,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,Produce,Produce a photorealistic image of an Aardvark that is 60 years old.,2,lifespan*2,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of an Aardvark that is 60 years old.'? Is the correct temporal knowledge applied (i.e. 60 years old)? Just reply with 'yes' or 'no'.
15,Aardvark,23.0,29.8,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,Produce,Produce a photorealistic image of an Aardvark that is 15.0 years old.,1,0.5*lifespan,http://commons.wikimedia.org/wiki/Special:FilePath/Porc%20formiguer.JPG,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Aardvark'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of an Aardvark that is 15.0 years old.'? Is the correct temporal knowledge applied (i.e. 150 years old)? Just reply with 'yes' or 'no'.
16,Aardwolf,10.0,20.0,(imperative) a photorealistic image of (name) that is 1 month old,youth,Create,Create a photorealistic image of an Aardwolf that is one month old.,1,1 month,"http://commons.wikimedia.org/wiki/Special:FilePath/Proteles%20cristatus1.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Charles%20Hamilton%20Smith%20-%20Aardwolf%20-%20B1981.25.2250%20-%20Yale%20Center%20for%20British%20Art.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Aardwolf'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of an Aardwolf that is one month old.'? Is the correct temporal knowledge applied (i.e. one month old)? Just reply with 'yes' or 'no'.
