index,promptcategory,timecategory,imperative,temporalvalue,daytimevalue,subject,prompt,difficulty,prompttemplate,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2
0,Seasonality,Month,Create,january,,a forest,Create a photorealistic image of a forest in europe in january ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"frosty,snowy,icy,snow,ice,frost,frosty and icy,frosty,snowy,icy,snow,ice,frost,frosty and icy",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a forest in europe in january '? Is the correct temporal knowledge applied (i.e. january)? Just reply with 'yes' or 'no'.
1,Seasonality,Month,Create,february,,a forest,Create a photorealistic image of a forest in europe in february ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"frosty,snowy,icy,snow,ice,frost,frosty and icy,frosty,snowy,icy,snow,ice,frost,frosty and icy",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a forest in europe in february '? Is the correct temporal knowledge applied (i.e. february)? Just reply with 'yes' or 'no'.
2,Seasonality,Month,Create,march,,a forest,Create a photorealistic image of a forest in europe in march ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a forest in europe in march '? Is the correct temporal knowledge applied (i.e. march)? Just reply with 'yes' or 'no'.
3,Seasonality,Month,Create,april,,a forest,Create a photorealistic image of a forest in europe in april ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a forest in europe in april '? Is the correct temporal knowledge applied (i.e. april)? Just reply with 'yes' or 'no'.
4,Seasonality,Month,Create,may,,a forest,Create a photorealistic image of a forest in europe in may ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal,blooming,lush,blossoming,green,greenery,flowers,bloom,fresh greenery,trees and plants covered in buds and blossoms,nature's renewal",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a forest in europe in may '? Is the correct temporal knowledge applied (i.e. may)? Just reply with 'yes' or 'no'.
5,Seasonality,Month,Create,june,,a forest,Create a photorealistic image of a forest in europe in june ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine,sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a forest in europe in june '? Is the correct temporal knowledge applied (i.e. june)? Just reply with 'yes' or 'no'.
6,Seasonality,Month,Create,july,,a forest,Create a photorealistic image of a forest in europe in july ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine,sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a forest in europe in july '? Is the correct temporal knowledge applied (i.e. july)? Just reply with 'yes' or 'no'.
7,Seasonality,Month,Create,august,,a forest,Create a photorealistic image of a forest in europe in august ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine,sunny,bright,green,warm,sunshine,greenery,warmth,blue skies,bright sunshine",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a forest in europe in august '? Is the correct temporal knowledge applied (i.e. august)? Just reply with 'yes' or 'no'.
8,Seasonality,Month,Create,september,,a forest,Create a photorealistic image of a forest in europe in september ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"golden,leaves,colored leaves,orange leaves,warm-hued landscape,golden,leaves,colored leaves,orange leaves,warm-hued landscape",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a forest in europe in september '? Is the correct temporal knowledge applied (i.e. september)? Just reply with 'yes' or 'no'.
9,Seasonality,Month,Create,november,,a forest,Create a photorealistic image of a forest in europe in november ,2,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),"golden,leaves,colored leaves,orange leaves,warm-hued landscape,golden,leaves,colored leaves,orange leaves,warm-hued landscape",Is the following subject present in the image: 'a forest'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a forest in europe in november '? Is the correct temporal knowledge applied (i.e. november)? Just reply with 'yes' or 'no'.
