index,promptcategory,place,suggestion,imperative,prompttemplate,prompt,difficulty,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2
0,maps,europe,1914,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1914,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of europe in 1914'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1914)? Just reply with 'yes' or 'no'.
1,maps,europe,1939,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1939,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of europe in 1939'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1939)? Just reply with 'yes' or 'no'.
2,maps,europe,1940,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1940,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of europe in 1940'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1940)? Just reply with 'yes' or 'no'.
3,maps,europe,1200,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1200,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of europe in 1200'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1200)? Just reply with 'yes' or 'no'.
4,maps,europe,1918,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1918,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of europe in 1918'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1918)? Just reply with 'yes' or 'no'.
5,maps,europe,1500,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1500,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of europe in 1500'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1500)? Just reply with 'yes' or 'no'.
6,maps,europe,1938,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1938,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of europe in 1938'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1938)? Just reply with 'yes' or 'no'.
7,maps,europe,1800,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of europe in 1800,1,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of europe in 1800'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1800)? Just reply with 'yes' or 'no'.
8,maps,america,1776,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of america in 1776,1,Is the following subject present in the image: 'Map of america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of america in 1776'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1776)? Just reply with 'yes' or 'no'.
9,maps,america,1754,Create,(imperative) a realistic map of (place) in (suggestion),Create a realistic map of america in 1754,1,Is the following subject present in the image: 'Map of america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of america in 1754'? Is the correct temporal knowledge applied (i.e. a map depicting the correct borders of 1754)? Just reply with 'yes' or 'no'.
